sim,control_mode,comms_level,n_blue,n_red,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000001,direct,0,2,2,0.8066666666666666,0.8066666666666666,1027.48,842.3305785123966,0.7733333333333333,0.75,1.2266666666666666,0.82,0.38666666666666666,0.375,0.7383333333333333,766.6133333333333,0.5333269908745372,300,342
sim-000002,direct,0,3,3,0.5866666666666667,0.5866666666666667,1250.4266666666667,863.2272727272727,1.36,1.1266666666666667,1.64,1.45,0.4533333333333333,0.37555555555555553,0.9877777777777779,1060.89,0.46673427849791893,300,642
sim-000003,direct,0,4,4,0.6066666666666667,0.6066666666666667,1238.94,875.1758241758242,2.05,1.5333333333333334,1.95,1.4533333333333334,0.5125,0.38333333333333336,1.1494444444444445,1031.89,0.49464176395422643,300,942
sim-000004,direct,0,5,5,0.36333333333333334,0.36333333333333334,1484.59,931.8990825688073,2.973333333333333,1.7266666666666666,2.026666666666667,1.8333333333333333,0.5946666666666666,0.3453333333333333,0.9427777777777777,1293.9833333333333,0.4276056105940207,300,1242
sim-000005,direct,0,6,6,0.35333333333333333,0.35333333333333333,1517.0633333333333,999.2358490566038,4.1033333333333335,1.8633333333333333,1.8966666666666667,1.68,0.6838888888888889,0.31055555555555553,0.6897777777777778,1251.9066666666668,0.4541763891565402,300,1542
sim-000006,direct,0,8,8,0.04,0.04,1775.3666666666666,1184.1666666666667,7.376666666666667,1.51,0.6233333333333333,0.61,0.9220833333333334,0.18875,0.24260317460317463,1024.1733333333334,0.5364789052797055,300,1842
sim-000007,direct,1,2,2,0.7433333333333333,0.7433333333333333,1122.6166666666666,888.7219730941704,0.87,0.6766666666666666,1.13,0.7466666666666667,0.435,0.3383333333333333,0.6566666666666666,779.0833333333334,0.5326018754720901,300,2142
sim-000008,direct,1,3,3,0.49666666666666665,0.49666666666666665,1360.67,915.4429530201343,1.48,1.0733333333333333,1.52,1.2933333333333332,0.49333333333333335,0.35777777777777775,0.9305555555555556,1090.92,0.46701744286333885,300,2442
sim-000009,direct,1,4,4,0.5533333333333333,0.5533333333333333,1314.3066666666666,922.2409638554217,2.26,1.4633333333333334,1.74,1.36,0.565,0.36583333333333334,1.0169444444444444,1052.4633333333334,0.4928888203104601,300,2742
sim-000010,direct,1,5,5,0.29,0.29,1559.8766666666668,971.9885057471264,3.27,1.6166666666666667,1.73,1.5633333333333332,0.6539999999999999,0.3233333333333333,0.853,1269.6166666666666,0.43819390084810095,300,3042
sim-000011,direct,1,6,6,0.30333333333333334,0.30333333333333334,1561.2466666666667,1012.9010989010989,4.323333333333333,1.77,1.6766666666666667,1.5,0.7205555555555555,0.295,0.6406111111111111,1226.7433333333333,0.46309617464196956,300,3342
sim-000012,direct,1,8,8,0.056666666666666664,0.056666666666666664,1763.4566666666667,1155.1176470588234,7.1033333333333335,1.7233333333333334,0.8966666666666666,0.88,0.8879166666666667,0.21541666666666667,0.28882539682539676,1146.3466666666666,0.5086658589487147,300,3642
sim-000013,direct,2,2,2,0.7666666666666667,0.7666666666666667,1132.6766666666667,929.5782608695653,0.8966666666666666,0.69,1.1033333333333333,0.7666666666666667,0.4483333333333333,0.345,0.6783333333333333,826.4733333333334,0.534844592498957,300,3942
sim-000014,direct,2,3,3,0.45666666666666667,0.45666666666666667,1414.5166666666667,955.8759124087592,1.67,0.9666666666666667,1.33,1.1966666666666668,0.5566666666666666,0.32222222222222224,0.8122222222222223,1074.4033333333334,0.47790328310717406,300,4242
sim-000015,direct,2,4,4,0.4266666666666667,0.4266666666666667,1444.1533333333334,965.984375,2.6466666666666665,1.2333333333333334,1.3533333333333333,1.1366666666666667,0.6616666666666666,0.30833333333333335,0.7227777777777777,1077.4166666666667,0.49158661602234816,300,4542
sim-000016,direct,2,5,5,0.25333333333333335,0.25333333333333335,1597.8033333333333,1001.8552631578947,3.4,1.5166666666666666,1.6,1.4733333333333334,0.68,0.30333333333333334,0.7570555555555555,1268.47,0.444813421308351,300,4842
sim-000017,direct,2,6,6,0.24,0.24,1616.05,1033.5416666666667,4.473333333333334,1.65,1.5266666666666666,1.38,0.7455555555555555,0.275,0.591388888888889,1247.8033333333333,0.45794748474156544,300,5142
sim-000018,direct,2,8,8,0.06666666666666667,0.06666666666666667,1755.25,1128.75,6.98,1.8433333333333333,1.02,0.98,0.8725,0.23041666666666666,0.33452777777777776,1194.5466666666666,0.49131439294014695,300,5442
sim-000019,direct,3,2,2,0.6833333333333333,0.6833333333333333,1251.45,997.2439024390244,1.0166666666666666,0.5866666666666667,0.9833333333333333,0.69,0.5083333333333333,0.29333333333333333,0.5633333333333334,846.8833333333333,0.5381335092176652,300,5742
sim-000020,direct,3,3,3,0.35,0.35,1529.99,1028.5428571428572,1.8766666666666667,0.7833333333333333,1.1233333333333333,1.0366666666666666,0.6255555555555555,0.26111111111111107,0.6322222222222222,1138.0066666666667,0.4718643952226133,300,6042
sim-000021,direct,3,4,4,0.37333333333333335,0.37333333333333335,1512.58,1030.125,2.703333333333333,1.14,1.2966666666666666,1.04,0.6758333333333333,0.285,0.7577777777777777,1103.82,0.49765793203926517,300,6342
sim-000022,direct,3,5,5,0.18666666666666668,0.18666666666666668,1664.2533333333333,1072.7857142857142,3.69,1.32,1.31,1.2,0.7379999999999999,0.264,0.6416111111111111,1193.2766666666666,0.4717723861343645,300,6642
sim-000023,direct,3,6,6,0.20666666666666667,0.20666666666666667,1653.69,1092.0483870967741,4.68,1.6433333333333333,1.32,1.2233333333333334,0.78,0.2738888888888889,0.5020555555555555,1224.83,0.4738573097116858,300,6942
sim-000024,direct,3,8,8,0.06,0.06,1760.27,1137.8333333333333,6.91,1.88,1.09,1.0533333333333332,0.86375,0.235,0.3263253968253968,1197.78,0.4907473236241551,300,7242
sim-000025,direct,4,2,2,0.49666666666666665,0.49666666666666665,1493.3233333333333,1182.5302013422818,1.3533333333333333,0.4166666666666667,0.6466666666666666,0.5033333333333333,0.6766666666666666,0.20833333333333334,0.37833333333333335,887.4,0.5227812602901993,300,7542
sim-000026,direct,4,3,3,0.20333333333333334,0.20333333333333334,1676.5733333333333,1192.983606557377,2.2133333333333334,0.6333333333333333,0.7866666666666666,0.7233333333333334,0.7377777777777778,0.21111111111111108,0.4361111111111111,1110.9466666666667,0.4862731470779148,300,7842
sim-000027,direct,4,4,4,0.25,0.25,1649.1466666666668,1196.5866666666666,3.183333333333333,0.7966666666666666,0.8166666666666667,0.69,0.7958333333333333,0.19916666666666666,0.43916666666666665,999.67,0.523195664370234,300,8142
sim-000028,direct,4,5,5,0.09,0.09,1747.0666666666666,1211.851851851852,4.196666666666666,1.0966666666666667,0.8033333333333333,0.79,0.8393333333333333,0.21933333333333332,0.37327777777777776,1129.02,0.5004849044324113,300,8442
sim-000029,direct,4,6,6,0.09666666666666666,0.09666666666666666,1743.3433333333332,1213.896551724138,5.28,1.0933333333333333,0.72,0.65,0.88,0.1822222222222222,0.3187777777777778,1026.1733333333334,0.528507369867496,300,8742
sim-000030,direct,4,8,8,0.043333333333333335,0.043333333333333335,1775.2066666666667,1227.8461538461538,7.3566666666666665,1.6133333333333333,0.6433333333333333,0.62,0.9195833333333333,0.20166666666666666,0.26228968253968254,1000.2666666666667,0.5477625233071376,300,9042
sim-000031,direct,5,2,2,0.5566666666666666,0.5566666666666666,1456.2366666666667,1182.4610778443114,1.2466666666666666,0.4633333333333333,0.7533333333333333,0.5566666666666666,0.6233333333333333,0.23166666666666666,0.43,924.5833333333334,0.5283414272064111,300,9342
sim-000032,direct,5,3,3,0.25,0.25,1648.2566666666667,1193.0266666666666,2.1533333333333333,0.6666666666666666,0.8466666666666667,0.7766666666666666,0.7177777777777778,0.22222222222222218,0.48833333333333334,1088.79,0.4932414577780139,300,9642
sim-000033,direct,5,4,4,0.25,0.25,1649.18,1196.72,3.0833333333333335,0.9333333333333333,0.9166666666666666,0.7533333333333333,0.7708333333333334,0.23333333333333334,0.5330555555555556,1063.65,0.5103124598021744,300,9942
sim-000034,direct,5,5,5,0.14333333333333334,0.14333333333333334,1715.1966666666667,1208.3488372093022,4.056666666666667,1.0666666666666667,0.9433333333333334,0.8933333333333333,0.8113333333333332,0.21333333333333335,0.3927222222222222,1127.11,0.4987012103572468,300,10242
sim-000035,direct,5,6,6,0.08666666666666667,0.08666666666666667,1749.08,1212.4615384615386,5.243333333333333,1.1833333333333333,0.7566666666666667,0.72,0.8738888888888887,0.19722222222222224,0.30577777777777776,1111.0,0.5074593421974456,300,10542
sim-000036,direct,5,8,8,0.04,0.04,1777.04,1226.0,7.3566666666666665,1.63,0.6433333333333333,0.61,0.9195833333333333,0.20375,0.2948769841269841,1020.98,0.5385350056539924,300,10842
