n_uas,cuas,success,coverage,air_losses,ground_losses,blue_cost_lost,cost_exchange,red_losses,n_rep
1,off,0.14,0.1163,0.0,3.685,73.7,0.4681,2.3,200
1,on,0.17,0.1377,0.115,3.59,71.915,0.4672,2.24,200
2,off,0.305,0.2131,0.0,3.22,64.4,0.7977,3.425,200
2,on,0.355,0.1716,0.565,3.09,62.365,0.8142,3.385,200
3,off,0.515,0.3646,0.0,2.475,49.5,1.2803,4.225,200
3,on,0.505,0.2927,1.39,2.62,53.79,1.1015,3.95,200
4,off,0.525,0.3663,0.0,2.495,49.9,1.3136,4.37,200
4,on,0.435,0.2463,2.36,2.825,58.86,0.9926,3.895,200
5,off,0.61,0.8152,0.0,1.8,36.0,1.9854,4.765,200
5,on,0.415,0.3415,3.62,2.75,58.62,0.98,3.83,200
6,off,0.72,0.797,0.0,1.445,28.9,2.6029,5.015,200
6,on,0.33,0.282,5.165,2.995,65.065,0.7504,3.255,200
8,off,0.7,0.8101,0.0,1.82,36.4,1.9574,4.75,200
8,on,0.29,0.2149,7.51,3.21,71.71,0.5846,2.795,200
