sim,route_bias,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000001,0.0,0.22,0.22,1506.9366666666667,467.8939393939394,6.1433333333333335,1.87,1.8566666666666667,1.6433333333333333,0.7679166666666667,0.31166666666666665,0.4910079365079365,902.8066666666666,0.44075928842672957,300,342
sim-000002,0.05,0.24333333333333335,0.24333333333333335,1476.2366666666667,469.4657534246575,6.023333333333333,1.9433333333333334,1.9766666666666666,1.7733333333333334,0.7529166666666667,0.3238888888888889,0.5001031746031747,949.5033333333333,0.4251654348887797,300,642
sim-000003,0.1,0.26,0.26,1454.8833333333334,472.62820512820514,5.836666666666667,2.0,2.1633333333333336,1.87,0.7295833333333334,0.3333333333333333,0.6184960317460317,958.78,0.42202657734375787,300,942
sim-000004,0.15,0.23,0.23,1496.7833333333333,481.6666666666667,6.07,2.01,1.93,1.69,0.75875,0.335,0.5597261904761904,905.6933333333334,0.4443557256772948,300,1242
sim-000005,0.2,0.25666666666666665,0.25666666666666665,1463.9966666666667,490.8961038961039,5.92,2.1,2.08,1.8033333333333332,0.74,0.35,0.6175674603174602,902.44,0.44084556499899985,300,1542
sim-000006,0.25,0.2633333333333333,0.2633333333333333,1459.38,506.50632911392404,5.91,2.0833333333333335,2.09,1.8366666666666667,0.73875,0.3472222222222222,0.6117539682539683,903.12,0.4472482355166065,300,1842
sim-000007,0.3,0.26,0.26,1468.6466666666668,525.5641025641025,5.933333333333334,2.1066666666666665,2.066666666666667,1.78,0.7416666666666667,0.35111111111111115,0.6339563492063492,917.2066666666667,0.45131724158758363,300,2142
sim-000008,0.35,0.31333333333333335,0.31333333333333335,1405.8866666666668,542.1914893617021,5.536666666666667,2.2466666666666666,2.4633333333333334,2.09,0.6920833333333334,0.3744444444444444,0.7864325396825396,991.0033333333333,0.4287880175468236,300,2442
sim-000009,0.4,0.31333333333333335,0.31333333333333335,1414.3966666666668,569.3510638297872,5.496666666666667,2.42,2.5033333333333334,2.08,0.6870833333333334,0.4033333333333333,0.8398174603174603,1027.2033333333334,0.426635073361009,300,2742
sim-000010,0.45,0.34,0.34,1392.8533333333332,602.5098039215686,5.37,2.43,2.63,2.26,0.67125,0.405,0.7413690476190475,1073.4366666666667,0.42452532323185843,300,3042
sim-000011,0.5,0.38,0.38,1355.0733333333333,629.140350877193,5.246666666666667,2.6366666666666667,2.7533333333333334,2.3033333333333332,0.6558333333333334,0.43944444444444436,0.8681825396825398,1068.87,0.42808677442420995,300,3342
sim-000012,0.55,0.4633333333333333,0.4633333333333333,1276.4266666666667,669.9856115107914,4.6433333333333335,2.95,3.3566666666666665,2.7266666666666666,0.5804166666666667,0.49166666666666664,1.1367698412698413,1079.4633333333334,0.4418332980760392,300,3642
sim-000013,0.6,0.6066666666666667,0.6066666666666667,1141.8066666666666,715.065934065934,3.96,3.26,4.04,3.1433333333333335,0.495,0.5433333333333333,1.5512261904761904,1058.4266666666667,0.4627474000485889,300,3942
sim-000014,0.65,0.65,0.65,1117.62,750.1846153846154,3.7066666666666666,3.45,4.293333333333333,3.25,0.4633333333333333,0.575,1.7008174603174606,1044.77,0.47879267577699597,300,4242
sim-000015,0.7,0.7933333333333333,0.7933333333333333,1009.8866666666667,804.0588235294117,2.8766666666666665,3.7533333333333334,5.123333333333333,3.6433333333333335,0.3595833333333333,0.6255555555555556,2.2275515873015874,992.1833333333333,0.5066490738607403,300,4542
sim-000016,0.75,0.8833333333333333,0.8833333333333333,968.6466666666666,858.8452830188679,2.2533333333333334,4.113333333333333,5.746666666666667,3.8366666666666664,0.2816666666666667,0.6855555555555556,2.73484126984127,968.6466666666666,0.5342628742595701,300,4842
sim-000017,0.8,0.9233333333333333,0.9233333333333333,968.87,899.8592057761733,1.8466666666666667,4.28,6.153333333333333,3.9133333333333336,0.23083333333333333,0.7133333333333334,3.1603333333333334,968.87,0.537375103885385,300,5142
sim-000018,0.85,0.9833333333333333,0.9833333333333333,971.0866666666667,957.0372881355933,1.3866666666666667,4.753333333333333,6.613333333333333,3.9833333333333334,0.17333333333333334,0.7922222222222223,3.8322222222222218,971.0866666666667,0.5664187845056919,300,5442
sim-000019,0.9,0.99,0.99,1015.31,1007.3838383838383,1.04,4.653333333333333,6.96,3.99,0.13,0.7755555555555556,4.066,1015.31,0.5506965231143298,300,5742
sim-000020,0.95,0.9933333333333333,0.9933333333333333,1048.3633333333332,1043.3187919463087,0.8766666666666667,4.523333333333333,7.123333333333333,3.993333333333333,0.10958333333333334,0.7538888888888889,4.117166666666667,1048.3633333333332,0.5356550194352395,300,6042
sim-000021,1.0,0.9933333333333333,0.9933333333333333,1086.3066666666666,1081.5167785234898,0.6666666666666666,4.72,7.333333333333333,3.993333333333333,0.08333333333333333,0.7866666666666666,4.4735000000000005,1086.3066666666666,0.5227851550775539,300,6342
